PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,GRADES_PK_AM,GRADES_KG_AM,GRADES_4_AM,GRADES_8_AM,GRADES_12_AM,GRADES_1_8_AM,GRADES_9_12_AM,GRADES_ALL_AM,GRADES_PK_AS,GRADES_KG_AS,GRADES_4_AS,GRADES_8_AS,GRADES_12_AS,GRADES_1_8_AS,GRADES_9_12_AS,GRADES_ALL_AS,GRADES_PK_HI,GRADES_KG_HI,GRADES_4_HI,GRADES_8_HI,GRADES_12_HI,GRADES_1_8_HI,GRADES_9_12_HI,GRADES_ALL_HI,GRADES_PK_BL,GRADES_KG_BL,GRADES_4_BL,GRADES_8_BL,GRADES_12_BL,GRADES_1_8_BL,GRADES_9_12_BL,GRADES_ALL_BL,GRADES_PK_WH,GRADES_KG_WH,GRADES_4_WH,GRADES_8_WH,GRADES_12_WH,GRADES_1_8_WH,GRADES_9_12_WH,GRADES_ALL_WH,GRADES_PK_HP,GRADES_KG_HP,GRADES_4_HP,GRADES_8_HP,GRADES_12_HP,GRADES_1_8_HP,GRADES_9_12_HP,GRADES_ALL_HP,GRADES_PK_TR,GRADES_KG_TR,GRADES_4_TR,GRADES_8_TR,GRADES_12_TR,GRADES_1_8_TR,GRADES_9_12_TR,GRADES_ALL_TR,GRADES_PK_AMM,GRADES_KG_AMM,GRADES_4_AMM,GRADES_8_AMM,GRADES_12_AMM,GRADES_1_8_AMM,GRADES_9_12_AMM,GRADES_ALL_AMM,GRADES_PK_AMF,GRADES_KG_AMF,GRADES_4_AMF,GRADES_8_AMF,GRADES_12_AMF,GRADES_1_8_AMF,GRADES_9_12_AMF,GRADES_ALL_AMF,GRADES_PK_ASM,GRADES_KG_ASM,GRADES_4_ASM,GRADES_8_ASM,GRADES_12_ASM,GRADES_1_8_ASM,GRADES_9_12_ASM,GRADES_ALL_ASM,GRADES_PK_ASF,GRADES_KG_ASF,GRADES_4_ASF,GRADES_8_ASF,GRADES_12_ASF,GRADES_1_8_ASF,GRADES_9_12_ASF,GRADES_ALL_ASF,GRADES_PK_HIM,GRADES_KG_HIM,GRADES_4_HIM,GRADES_8_HIM,GRADES_12_HIM,GRADES_1_8_HIM,GRADES_9_12_HIM,GRADES_ALL_HIM,GRADES_PK_HIF,GRADES_KG_HIF,GRADES_4_HIF,GRADES_8_HIF,GRADES_12_HIF,GRADES_1_8_HIF,GRADES_9_12_HIF,GRADES_ALL_HIF,GRADES_PK_BLM,GRADES_KG_BLM,GRADES_4_BLM,GRADES_8_BLM,GRADES_12_BLM,GRADES_1_8_BLM,GRADES_9_12_BLM,GRADES_ALL_BLM,GRADES_PK_BLF,GRADES_KG_BLF,GRADES_4_BLF,GRADES_8_BLF,GRADES_12_BLF,GRADES_1_8_BLF,GRADES_9_12_BLF,GRADES_ALL_BLF,GRADES_PK_WHM,GRADES_KG_WHM,GRADES_4_WHM,GRADES_8_WHM,GRADES_12_WHM,GRADES_1_8_WHM,GRADES_9_12_WHM,GRADES_ALL_WHM,GRADES_PK_WHF,GRADES_KG_WHF,GRADES_4_WHF,GRADES_8_WHF,GRADES_12_WHF,GRADES_1_8_WHF,GRADES_9_12_WHF,GRADES_ALL_WHF,GRADES_PK_HPM,GRADES_KG_HPM,GRADES_4_HPM,GRADES_8_HPM,GRADES_12_HPM,GRADES_1_8_HPM,GRADES_9_12_HPM,GRADES_ALL_HPM,GRADES_PK_HPF,GRADES_KG_HPF,GRADES_4_HPF,GRADES_8_HPF,GRADES_12_HPF,GRADES_1_8_HPF,GRADES_9_12_HPF,GRADES_ALL_HPF,GRADES_PK_TRM,GRADES_KG_TRM,GRADES_4_TRM,GRADES_8_TRM,GRADES_12_TRM,GRADES_1_8_TRM,GRADES_9_12_TRM,GRADES_ALL_TRM,GRADES_PK_TRF,GRADES_KG_TRF,GRADES_4_TRF,GRADES_8_TRF,GRADES_12_TRF,GRADES_1_8_TRF,GRADES_9_12_TRF,GRADES_ALL_TRF,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2003_MICHIGAN,MICHIGAN,2003,1764327,18488359,1357006,11227903,5903450,19680370,8725075,6144707,844762,2453532,21724,130527,127659,139797,108688,1045762,514701,1582187,133,1281,1244,1380,990,10475,5008,15616,583,3117,2840,2685,2431,22957,10760,34300,1624,6704,5499,4816,2843,44203,16412,62239,3399,24466,28081,28856,13197,223503,89716,316618,15599,94689,89694,101846,89083,742777,392104,1150480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.6869747,276.4418616,218.7890567,264.8325323
2003_MINNESOTA,MINNESOTA,2003,825674,8484497,463746,6064474,1956277,8938770,4318736,2130933,613899,1204124,10876,59330,60045,67909,72608,493843,278805,783524,244,1232,1266,1483,1197,10656,5509,16409,271,3328,3402,3608,3927,27187,14392,41850,591,3966,3220,2670,2180,24823,9263,34677,796,5337,4966,5108,5071,39927,19428,60151,8974,45467,47191,55040,60233,391250,230213,630437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.9122956,290.680056,222.6089623,267.5048317
2003_MISSISSIPPI,MISSISSIPPI,2003,491623,3260771,482904,1754451,1023416,3205193,1702193,965269,203597,267397,2208,38340,38752,38231,25918,312062,127333,441603,3,84,74,65,32,533,204,740,16,309,266,298,228,2282,1033,3331,29,604,478,406,128,3731,957,4717,1656,18986,20184,18667,12390,159141,62038,222835,504,18357,17750,18795,13140,146375,63101,209980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.8906005,260.9119336,205.4644068,266.0116896
2003_MISSOURI,MISSOURI,2003,921625,7622601,559732,3430809,3632060,7905481,4087984,2334521,448752,767068,11215,66509,66927,72806,61626,553887,273466,838568,35,221,256,265,206,2101,859,2995,211,962,927,888,911,7481,3657,11349,751,2342,1888,1632,1037,15012,5387,21150,2835,11870,12792,12895,8628,103368,44255,150458,7383,51114,51064,57126,50844,425925,219308,652616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.8364254,278.7662503,222.2602301,266.1914352
2003_MONTANA,MONTANA,2003,149801,1205602,171819,553269,480514,1214879,687104,384824,48570,75983,664,10147,10779,12409,11258,89103,48092,137859,61,1270,1204,1411,887,10318,4650,15029,6,103,132,126,121,914,519,1439,16,241,236,253,187,1949,878,2843,9,107,101,76,39,723,232,964,572,8426,9106,10543,10024,75199,41813,117584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.7549153,285.9280226,222.7465416,253.4482882
2003_NEBRASKA,NEBRASKA,2003,283934,2600831,225861,878715,1496255,2623966,1414919,683210,112145,329746,5920,20719,20480,22792,21872,168778,90125,264823,63,364,358,405,261,2850,1268,4181,132,394,372,352,382,2809,1496,4437,995,2749,2311,1919,1184,18505,6463,25963,545,1564,1572,1607,1128,12634,5668,18847,4185,15648,15867,18509,18917,131980,75230,211395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.2541084,282.193756,220.6118021,268.3232652
2003_NEVADA,NEVADA,2003,369498,2778564,191839,1663026,923699,3009028,1406660,767835,88985,576610,2778,28596,30653,31392,18700,248787,104650,356215,51,471,551,529,275,4267,1800,6118,116,1876,1912,2077,1475,16276,7548,23940,736,10606,9938,8954,3721,79038,25704,105478,263,2768,3387,3457,1769,26992,10960,38215,1612,12875,14865,16375,11460,122214,58638,182464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.5135983,268.0431377,206.9596827,261.5957319
2003_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2003,203702,2028602,101294,957471,969837,2122604,1119824,570036,60830,214807,2221,9989,15810,17703,14445,129331,65325,196877,8,25,34,48,32,325,188,521,53,245,278,248,228,2181,979,3213,93,305,439,372,251,3255,1300,4648,45,172,253,211,154,1918,797,2760,2022,9242,14806,16824,13780,121652,62061,185735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.1101422,286.1984687,227.7895085,272.9066451
2003_NEW_JERSEY,NEW_JERSEY,2003,1350330,19785039,797717,8135014,10852308,19812932,10169992,6429003,677268,1626453,22746,93201,99937,103603,84539,811469,382910,1217125,93,201,186,144,121,1265,655,2013,1206,6960,7466,7023,6389,59379,27443,88028,7189,17811,16971,16280,11344,138157,58444,203790,5898,16086,17345,17266,12355,139059,62496,207453,8360,52143,57969,62890,54330,473609,233872,715841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.7765412,281.4071199,225.073328,264.3782925
2003_NEW_MEXICO,NEW_MEXICO,2003,320264,2626262,383513,1905419,337330,2658140,1239571,851701,131177,399406,3976,23636,24382,25857,19505,198420,97034,299430,393,2260,2640,3210,2319,21477,11994,33864,38,289,293,261,293,2251,1255,3544,2185,13592,13177,13269,8770,106535,47141,155861,74,563,624,596,444,4909,2287,7270,1286,6932,7648,8521,7679,63248,34357,98891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.5180092,263.2729067,203.1853126,267.7113584
2003_NEW_YORK,NEW_YORK,2003,2879228,38033080,2591430,17509618,17932032,41603390,24786376,10000845,1156927,4489672,41456,188638,206912,219335,163362,1681670,820478,2543604,269,1046,1148,973,536,8513,3130,11912,3695,13428,13769,13496,11376,109748,56861,170304,10731,38606,40950,38809,19630,327783,136906,475420,10151,32709,39610,40926,23801,321994,154158,486303,16610,102849,111435,125131,108019,913632,469423,1399665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.9300755,279.749257,222.1882071,255.010828
2003_NORTH_CAROLINA,NORTH_CAROLINA,2003,1314632,9907235,888996,5970302,3047937,9989670,5517870,2721749,528694,940500,11686,109336,105411,108717,75918,852997,386190,1250873,296,1733,1601,1528,890,12751,5251,18298,251,2169,2108,2093,1732,16885,7965,25101,1508,11003,7584,5777,2450,60768,17263,79539,4973,33757,33998,34589,20812,272675,117920,395568,4658,60674,60120,64730,50034,489918,237791,732367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0401256,281.2403506,221.2205797,267.3636733
2003_NORTH_DAKOTA,NORTH_DAKOTA,2003,103785,882913,126023,306647,450243,895278,448720,239435,60008,81014,752,6891,7219,8245,8313,60227,34363,95342,56,585,622,687,430,5364,2708,8128,11,69,71,56,65,510,272,793,14,118,108,101,89,937,394,1345,12,119,92,101,73,780,322,1114,659,6000,6326,7300,7656,52636,30667,83962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.5773868,287.1446405,221.6422457,269.833416
2003_OHIO,OHIO,2003,1803966,18018740,1097349,7844992,9076399,18760200,8958790,6097596,800930,2324140,26151,134036,136776,147064,127993,1118015,567226,1711392,35,217,192,211,161,1536,741,2312,319,1841,1790,1737,1699,14090,6957,21366,818,3512,3065,2856,1898,24419,9927,35164,4328,22106,24556,24847,16044,194021,87539,285888,19834,101739,103859,115300,107252,858162,456126,1334122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.7820679,281.6072954,221.8657991,266.3136904
2003_OKLAHOMA,OKLAHOMA,2003,624202,4426835,563974,2272785,1590076,4376502,2158574,1402007,453806,307213,30203,46542,44829,47258,38601,370640,174652,575495,5302,8350,8490,8897,6604,70486,30978,106766,461,649,663,653,714,5363,2876,8700,2968,4502,3652,3149,1845,29718,10426,43112,3375,5369,5139,5174,3460,41167,17959,62501,18097,27672,26885,29385,25978,223906,112413,354416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0966213,271.9051513,213.5793571,252.3099157
2003_OREGON,OREGON,2003,552135,4592019,407432,2348070,1836517,4978764,2458415,1546156,175667,606048,399,38785,40903,44711,40702,336860,172375,509634,7,807,902,1166,835,7848,3892,11747,26,1650,1824,1903,1933,14668,7519,22213,85,7103,6095,5117,3663,48566,17510,66161,148,1158,1262,1161,1083,10094,4596,14838,131,26706,29887,34701,32608,248701,136269,385101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.3059056,280.8924709,217.6145353,270.734453
2003_PENNSYLVANIA,PENNSYLVANIA,2003,1757066,19811545,1419644,6912678,11479223,20626459,10151195,5765734,810211,1848552,2588,118647,135765,150652,131199,1111329,582624,1696541,1,177,180,205,146,1549,707,2257,17,2947,3157,3087,3002,25025,12936,37978,505,7878,8169,7766,4475,65487,26732,92724,387,18981,23059,22772,15437,182129,84137,266653,1678,88664,101200,116822,108139,837139,458112,1296929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.9470171,278.5377581,218.6984275,267.7869531
2003_RHODE_ISLAND,RHODE_ISLAND,2003,157286,1728055,109011,713197,905847,1646238,971700,525727,64258,31360,1473,10702,12429,13018,9957,99034,48166,148673,22,76,72,63,44,579,253,854,30,345,400,410,317,3177,1529,4736,173,2118,2184,2093,1076,16941,6733,23847,126,886,1083,1060,746,8343,4144,12613,1120,7203,8688,9096,7774,68853,35492,105465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.297962,271.9986944,216.4940152,251.599156
2003_SOUTH_CAROLINA,SOUTH_CAROLINA,2003,691736,5709707,535356,2761951,2412400,6024747,2888468,1731328,324241,865462,20107,50985,52715,53384,38273,429651,198455,648213,75,186,150,139,80,1254,455,1784,272,642,572,567,475,4660,2279,7211,1298,2279,1737,1471,570,14254,4132,19684,9241,20504,21979,21900,14801,177240,80041,266522,9116,27139,28175,29025,22283,231086,109313,349515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.7932235,277.3004496,214.8077245,265.3297945
2003_SOUTH_DAKOTA,SOUTH_DAKOTA,2003,127632,965778,148498,328576,488704,993823,499480,295468,42694,122247,2132,9201,9140,10082,9566,74682,39522,116336,401,1184,1108,1015,483,8718,3115,12234,14,82,114,110,121,753,461,1228,69,218,171,166,114,1420,561,2050,56,175,148,137,124,1171,501,1728,1592,7542,7599,8654,8724,62620,34884,99096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.2648206,284.8817364,222.2731786,261.7116448
2003_TENNESSEE,TENNESSEE,2003,905050,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055,635950,16786,73202,70446,72505,54115,573095,261405,851286,,148,105,123,89,1011,455,,,978,907,856,768,7186,3519,,,3060,2208,1761,813,17560,5165,,,18384,18143,18177,11827,146101,61982,,,50632,49083,51588,40618,401237,190284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.7550447,268.1757286,211.9475411,269.7303543
2003_TEXAS,TEXAS,2003,4201914,35143236,3360082,13675228,18107926,37333674,18009879,10264033,1731131,4764154,194150,323502,321788,324381,243490,2614932,1199167,4008249,476,1097,978,1094,708,8640,3588,12704,5667,9320,9346,9029,8384,75268,36852,117787,117646,154955,143754,132627,85105,1157462,465429,1740537,31248,42623,45879,46865,32837,370679,172751,574678,39113,115507,121831,134766,116456,1002883,520547,1562543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.3059218,277.052649,214.8080056,266.5661059
2003_UTAH,UTAH,2003,483066,2875622,263030,1607204,1005388,2957874,1508566,705128,205147,469251,8598,39348,36064,36386,34629,293799,142140,444537,143,518,539,602,506,4396,2306,6845,227,1067,1038,1119,999,8566,4245,13038,1277,4874,4426,3784,2692,34061,12715,48053,116,436,475,371,310,3374,1318,4808,6772,32352,29444,30442,30083,242643,121321,370736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.7829509,280.6453697,219.2703384,261.719961
2003_VERMONT,VERMONT,2003,94901,1451171,79956,779124,592091,1440961,662999,345187,32289,46411,3027,6078,7049,8098,7614,57627,32091,92745,5,14,27,49,65,223,321,549,36,92,113,107,138,854,500,1390,22,41,54,66,59,506,244,772,45,59,74,92,88,721,387,1153,2899,5819,6727,7765,7250,55017,30597,88513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.9260724,285.6455722,226.1217466,264.0255699
2003_VIRGINIA,VIRGINIA,2003,1175458,10504167,698716,4087720,5717731,10746679,5661291,3184333,425933,1069375,16524,86374,90729,95586,76477,733990,354832,1105346,63,461,464,462,338,3705,1637,5405,616,3879,4106,4352,3772,33773,17316,51705,1775,6951,6151,5411,3442,48731,20060,70566,6967,22864,24918,25579,18132,199092,91026,297085,6785,50216,54036,59040,50471,440291,222957,670033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.2030891,281.6766434,223.3403592,264.2673651
2003_WASHINGTON,WASHINGTON,2003,1014577,8565636,702469,5334268,2528899,8802387,4332487,2514359,396084,1189781,11352,70663,75108,82274,74338,617233,322101,950686,284,1886,1921,2298,1723,16612,8524,25420,800,5604,5986,6187,6065,48405,25444,74649,2357,11170,10369,8788,6084,80988,30881,114226,1070,4270,4630,4365,3568,36258,16584,53912,6841,47733,52202,60636,56898,434970,240668,682479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.2928395,281.1513644,221.0966951,260.8795721
2003_WEST_VIRGINIA,WEST_VIRGINIA,2003,281591,2497707,267470,1519848,710389,2524444,1420396,761887,164473,166233,7911,20946,20753,22255,18554,169974,82375,260260,6,33,17,20,15,192,97,295,30,136,109,131,154,960,549,1539,61,112,116,115,91,978,385,1424,385,1094,1005,943,680,8092,3452,11929,7429,19571,19506,21046,17614,159752,77892,245073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.7677485,270.7703534,219.1795245,258.0889914
2003_WISCONSIN,WISCONSIN,2003,875390,8931497,530014,4838109,3563374,9128279,4844788,2757563,346325,733156,26668,59372,61744,68663,69389,503772,290219,820659,336,826,932,1029,904,7439,4147,11922,1006,1888,2134,2352,2277,17487,9281,27774,2513,4618,3938,3443,2337,31509,12662,46684,5139,6549,7228,7066,4239,55753,25111,86003,17674,45491,47512,54773,59632,391584,239018,648276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.755414,283.9158657,220.8334276,269.9710586
2003_WYOMING,WYOMING,2003,85966,962240,84308,489199,388733,915515,473447,292271,27608,110312,2184,6224,6174,7173,6500,51351,27703,81238,96,226,202,269,128,1910,801,2807,25,59,60,67,59,516,247,788,218,645,536,563,350,4472,1865,6555,26,98,104,86,41,757,316,1099,1819,5196,5272,6188,5922,43696,24474,69989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0857006,283.5033499,222.0751664,258.1083646
2005_ALABAMA,ALABAMA,2005,729342,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605,511944,2623,58692,55919,59643,43452,466164,212414,681201,18,278,444,506,398,3590,1836,5444,60,638,590,617,444,4692,2124,6876,84,2540,1651,1390,652,13939,3878,17901,1443,20015,19769,21841,14738,167819,76639,245901,745,34899,33322,35217,27182,274947,127681,403373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0712362,262.2111,207.752033,273.0457572
2005_ALASKA,ALASKA,2005,132568,1599739,302846,878731,418162,1751718,829666,559084,55782,268700,1914,9934,9495,10793,9578,79377,42063,123354,946,2779,2541,2901,2243,21067,10601,32614,68,689,663,738,723,5539,2949,8556,55,470,454,424,364,3561,1562,5178,63,464,437,487,470,3736,1888,5687,782,5532,5400,6243,5778,45474,25063,71319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.5107055,278.9587094,211.0613186,266.8787375
2005_ARIZONA,ARIZONA,2005,919875,7550109,897553,3320196,3332360,7136794,3423716,2264931,351097,861286,9979,83529,80458,80683,79180,645851,354901,1010731,456,4288,4260,4825,5527,35780,26926,63162,220,2085,2034,1795,2244,15882,8918,25020,4051,36915,33434,31358,25326,267139,118547,389737,423,4246,4224,4263,4055,33982,18202,52607,4829,35995,36506,38442,42028,293068,182308,480205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.8006731,274.30509,207.1427366,264.9477781
2005_ARKANSAS,ARKANSAS,2005,461667,3978240,447012,2995788,535440,3999608,2118580,1173643,200865,393713,10372,38070,34951,37279,29351,286781,138237,435390,39,233,222,245,179,1896,919,2854,109,578,427,481,481,3804,2064,5977,907,3365,2578,2235,1260,20809,7037,28753,3633,8499,7860,8511,6351,65483,31215,100331,5684,25395,23864,25807,21080,194789,97002,297475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.545467,271.6363484,217.0715289,254.9985524
2005_CALIFORNIA,CALIFORNIA,2005,6307022,62171797,7148863,34912166,20110768,66196072,31070450,18046385,3132465,10223657,125099,458440,477828,489560,423241,3848455,1953077,5926631,,3280,3797,4005,3743,29965,17200,,,49473,54076,56975,57461,431448,239348,,,237785,237845,226884,164869,1897272,836388,,,30166,35847,39002,33828,294810,162338,,,122106,137329,155534,156631,1119765,664519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.3669575,268.5581286,206.5120265,264.1845096
