PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,GRADES_PK_AM,GRADES_KG_AM,GRADES_4_AM,GRADES_8_AM,GRADES_12_AM,GRADES_1_8_AM,GRADES_9_12_AM,GRADES_ALL_AM,GRADES_PK_AS,GRADES_KG_AS,GRADES_4_AS,GRADES_8_AS,GRADES_12_AS,GRADES_1_8_AS,GRADES_9_12_AS,GRADES_ALL_AS,GRADES_PK_HI,GRADES_KG_HI,GRADES_4_HI,GRADES_8_HI,GRADES_12_HI,GRADES_1_8_HI,GRADES_9_12_HI,GRADES_ALL_HI,GRADES_PK_BL,GRADES_KG_BL,GRADES_4_BL,GRADES_8_BL,GRADES_12_BL,GRADES_1_8_BL,GRADES_9_12_BL,GRADES_ALL_BL,GRADES_PK_WH,GRADES_KG_WH,GRADES_4_WH,GRADES_8_WH,GRADES_12_WH,GRADES_1_8_WH,GRADES_9_12_WH,GRADES_ALL_WH,GRADES_PK_HP,GRADES_KG_HP,GRADES_4_HP,GRADES_8_HP,GRADES_12_HP,GRADES_1_8_HP,GRADES_9_12_HP,GRADES_ALL_HP,GRADES_PK_TR,GRADES_KG_TR,GRADES_4_TR,GRADES_8_TR,GRADES_12_TR,GRADES_1_8_TR,GRADES_9_12_TR,GRADES_ALL_TR,GRADES_PK_AMM,GRADES_KG_AMM,GRADES_4_AMM,GRADES_8_AMM,GRADES_12_AMM,GRADES_1_8_AMM,GRADES_9_12_AMM,GRADES_ALL_AMM,GRADES_PK_AMF,GRADES_KG_AMF,GRADES_4_AMF,GRADES_8_AMF,GRADES_12_AMF,GRADES_1_8_AMF,GRADES_9_12_AMF,GRADES_ALL_AMF,GRADES_PK_ASM,GRADES_KG_ASM,GRADES_4_ASM,GRADES_8_ASM,GRADES_12_ASM,GRADES_1_8_ASM,GRADES_9_12_ASM,GRADES_ALL_ASM,GRADES_PK_ASF,GRADES_KG_ASF,GRADES_4_ASF,GRADES_8_ASF,GRADES_12_ASF,GRADES_1_8_ASF,GRADES_9_12_ASF,GRADES_ALL_ASF,GRADES_PK_HIM,GRADES_KG_HIM,GRADES_4_HIM,GRADES_8_HIM,GRADES_12_HIM,GRADES_1_8_HIM,GRADES_9_12_HIM,GRADES_ALL_HIM,GRADES_PK_HIF,GRADES_KG_HIF,GRADES_4_HIF,GRADES_8_HIF,GRADES_12_HIF,GRADES_1_8_HIF,GRADES_9_12_HIF,GRADES_ALL_HIF,GRADES_PK_BLM,GRADES_KG_BLM,GRADES_4_BLM,GRADES_8_BLM,GRADES_12_BLM,GRADES_1_8_BLM,GRADES_9_12_BLM,GRADES_ALL_BLM,GRADES_PK_BLF,GRADES_KG_BLF,GRADES_4_BLF,GRADES_8_BLF,GRADES_12_BLF,GRADES_1_8_BLF,GRADES_9_12_BLF,GRADES_ALL_BLF,GRADES_PK_WHM,GRADES_KG_WHM,GRADES_4_WHM,GRADES_8_WHM,GRADES_12_WHM,GRADES_1_8_WHM,GRADES_9_12_WHM,GRADES_ALL_WHM,GRADES_PK_WHF,GRADES_KG_WHF,GRADES_4_WHF,GRADES_8_WHF,GRADES_12_WHF,GRADES_1_8_WHF,GRADES_9_12_WHF,GRADES_ALL_WHF,GRADES_PK_HPM,GRADES_KG_HPM,GRADES_4_HPM,GRADES_8_HPM,GRADES_12_HPM,GRADES_1_8_HPM,GRADES_9_12_HPM,GRADES_ALL_HPM,GRADES_PK_HPF,GRADES_KG_HPF,GRADES_4_HPF,GRADES_8_HPF,GRADES_12_HPF,GRADES_1_8_HPF,GRADES_9_12_HPF,GRADES_ALL_HPF,GRADES_PK_TRM,GRADES_KG_TRM,GRADES_4_TRM,GRADES_8_TRM,GRADES_12_TRM,GRADES_1_8_TRM,GRADES_9_12_TRM,GRADES_ALL_TRM,GRADES_PK_TRF,GRADES_KG_TRF,GRADES_4_TRF,GRADES_8_TRF,GRADES_12_TRF,GRADES_1_8_TRF,GRADES_9_12_TRF,GRADES_ALL_TRF,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1996_ARIZONA,ARIZONA,1996,764681,4143304,378917,1798363,1966024,4391555,1860007,1193260,220650,877190,4495,64613,62793,60514,42041,511925,210289,726709,343,4652,4543,4294,2769,37209,14853,52405,57,1008,1059,1111,973,8696,4184,12937,1296,22344,19291,17144,10453,156145,57925,215366,214,2928,2664,2440,1695,22082,8378,30674,2585,33681,35236,35525,26151,287793,124949,415327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5759405,267.8748343,206.5297884,263.2836376
1996_ARKANSAS,ARKANSAS,1996,452907,2183384,192152,1296247,694985,2297381,1264275,636106,127007,203555,1980,36442,33855,37064,27613,283883,131997,417860,5,151,143,119,111,1103,476,1584,18,185,260,264,271,2027,1126,3171,58,961,667,598,343,5516,1865,7439,921,8846,7888,8617,6152,66551,30212,97684,978,26299,24897,27466,20736,208686,98318,307982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.846436,261.6527453,208.8377158,271.8345898
1996_CALIFORNIA,CALIFORNIA,1996,5460484,31282981,2603882,17061474,11617625,31561692,16880730,9222569,2362407,2580639,73233,469965,435217,406456,298669,3516572,1525618,5115423,,3514,3664,3542,2805,29500,14465,,,44637,46840,49371,41487,382633,194444,,,217420,175827,151631,95999,1416287,553441,,,39107,39072,33219,23547,307346,127495,,,165287,169814,168693,134831,1380806,635773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.1290827,262.7724784,201.9125907,269.1974505
1996_COLORADO,COLORADO,1996,655679,3891203,194998,1664676,2031529,4075165,2052264,1127563,143767,588209,12520,50707,52524,52269,37179,423510,185700,621730,152,650,552,557,315,4712,1753,6617,289,1181,1269,1326,1114,10737,5175,16201,3846,11143,10028,9425,4969,81086,30123,115055,923,3054,2924,2681,1786,23560,9641,34124,7310,34679,37751,38280,28995,303415,139008,449733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.8058575,275.6082142,221.6532433,268.1681543
1996_CONNECTICUT,CONNECTICUT,1996,499815,4686025,162218,1703171,2820636,4538234,2701637,1296119,149792,149327,9147,43213,41969,37991,28882,335296,137753,482196,22,76,80,112,108,777,496,1295,203,1060,999,961,921,8121,3793,12117,1789,5559,5206,4293,2380,40499,14680,56968,1835,6102,5443,4956,3225,45413,17659,64907,5298,30416,30241,27669,22248,240486,101125,346909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0265739,279.5912449,231.5983046,263.6897811
1996_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1996,79802,678874,57870,0,621004,703245,334893,312944,39956,15452,5044,7469,5442,4625,3042,46313,16241,67598,4,2,2,0,14,27,37,68,57,93,76,65,60,609,314,980,430,607,382,333,213,3282,1230,4942,4350,6432,4711,4083,2659,40384,14233,58967,203,335,271,144,96,2011,427,2641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.13467,232.8315095,181.6269905,264.9384658
1996_FLORIDA,FLORIDA,1996,2175352,13684457,942159,6671487,6070811,13936240,6380643,4230355,992115,2042385,53979,176512,175240,169657,105469,1422671,589050,2065700,127,483,414,361,223,3329,1245,4701,534,2579,3012,3159,2807,24114,12781,37429,10052,29649,27953,26858,15506,227139,89995,327186,23471,45860,42978,41625,24100,355080,144138,522689,19795,97941,100883,97654,62833,813009,340891,1173695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.7635826,263.6393936,207.2976094,255.2266348
1996_HAWAII,HAWAII,1996,187104,1199019,91391,1079097,28531,1231550,671105,328131,103048,129266,694,16129,14864,13786,10466,119309,51427,171430,3,70,65,56,34,507,219,729,431,10458,9585,9359,7493,77877,35880,114188,33,728,717,697,564,5658,2708,8399,37,598,519,476,210,4216,1300,5553,190,4275,3978,3198,2165,31051,11320,42561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.9655616,262.1300817,199.7016816,260.800208
1996_IDAHO,IDAHO,1996,243097,1134052,80486,718218,335348,1198223,642377,327291,47750,157468,1689,17562,18085,19998,17075,150168,75833,227690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.7265305
1996_ILLINOIS,ILLINOIS,1996,1924970,12732129,728400,4191483,7812246,12423100,6303563,3960659,474624,1112689,50857,152268,145919,141348,123783,1206546,559275,1816678,49,164,212,222,181,1769,931,2749,1188,4004,4414,4476,4620,36287,19382,56857,9333,23247,19223,17124,11236,159058,60073,228464,16584,32519,30029,28486,22259,255472,110540,382596,23703,92334,92041,91040,85487,753960,368349,1146012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.2129518
